ID NerdMonster,ID Parceiro,Nome,Nome,Endereço,Número,Complemento,Bairro,CEP,Cidade,Estado,Latitude,Longitude,Descrição,Telefone,Website,Horários - Domingo,Horários - Segunda-Feira,Horários - Terça-Feira,Horários - Quarta-Feira,Horários - Quinta-Feira,Horários - Sexta-Feira,Horários - Sábado,Categoria,Última atualização
17283,389,Carrefour Hipermercado Pirituba,BPI - Hiper - Pirituba,Avenida Mutinga,S/N,,Pirituba,05154-000,São Paulo,SP,"-23,4860065","-46,7393288","Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): segunda a sábado das 06:30h às 07:30h, domingos e feriados das 7:00 às 8:00h",(11) 3901-7726,https://www.carrefour.com.br/localizador-de-lojas,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,08:00-22:00,Hipermercado,17/04/2021 14:33
17284,330,Carrefour Hipermercado Taboão da Serra,STS - Hiper - Taboão da Serra,Rodovia Régis Bittencourt,1835,,Taboão da Serra,06768-200,São Paulo,SP,"-23,6132152","-46,7760957",Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): das 07h às 08h ,(11) 4788-4755,https://www.carrefour.com.br/localizador-de-lojas,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,Hipermercado,16/04/2021 15:52
17285,133,Carrefour Hipermercado São Caetano do Sul,SCS - Hiper - São Caetano do Sul,Rua Aquidaban,s/nº,,Fundação,09520-180,São Caetano do Sul,SP,"-23,6109384","-46,5659602","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(11) 4224-7517,https://www.carrefour.com.br/localizador-de-lojas,07:00-22:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,Hipermercado,19/05/2021 15:41
17288,139,Carrefour Hipermercado Jundiaí,JDI - Hiper - Jundiaí,Avenida Profª Maria do Carmo Guimarães Pellegrini,800,,Moisés,13210-816,Jundiaí,SP,"-23,184038","-46,908529","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(11) 4583-5000,https://www.carrefour.com.br/localizador-de-lojas,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,Hipermercado,16/04/2021 15:15
17290,5,Carrefour Hipermercado São José do Rio Preto Shopping,CSS - Hiper - Faria Lima,Avenida Brigadeiro Faria Lima ,6363,,Jardim Fernandes,15090-000,São José do Rio Preto,SP,"-20,8353526","-49,3984822",,(17) 3227-1335,https://www.carrefour.com.br/localizador-de-lojas,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,Hipermercado,22/05/2021 20:51
17294,351,Carrefour Hipermercado Ribeirão Preto Via Norte,RPN - Hiper - Ribeirão Preto Via Norte,Rua Municipal,252,,Campos Elísios,14055-510,Ribeirão Preto,SP,"-21,1639784","-47,8154726","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(16) 3977-3401,https://www.carrefour.com.br/localizador-de-lojas,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,06:00-21:00,Hipermercado,23/06/2021 08:36
17297,206,Carrefour Hipermercado Iguatemi,ECP - Hiper - Iguatemi,Avenida Projetada,S/N,,Vila Brandina,13094-693,Campinas,SP,"-22,8914353","-47,0232567","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(19) 3254-7544,https://www.carrefour.com.br/localizador-de-lojas,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,05:00-21:00,Hipermercado,15/05/2021 12:15
17299,394,Carrefour Hipermercado Praiamar Shopping,Hiper - BSP - Praiamar Shopping,Rua Alexandre Martins,80,,Aparecida,11025-200,Santos,SP,"-23,9784047","-46,30881",,(13) 3279-1101,https://www.carrefour.com.br/localizador-de-lojas,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,07:00-20:00,Hipermercado,20/04/2021 16:51
17300,393,Carrefour Hipermercado Santo André,BSA - Hiper - Santo André,Avenida Pereira Barreto,2920,,Jardim Paraíso,09190-210,Santo André,SP,"-23,6696912","-46,535755","A comodidade de resolver tudo em um só lugar, de fácil acesso e com os melhores preços. O Carrefour Hiper é um complexo multisserviços, onde você encontra mercado, açougue, padaria, confeitaria, peixaria, corredor de saudáveis e produtos de higiene, além dos setores de eletro, têxtil, telefonia, pet, autos, casa e decoração, reunidos sob um único espaço que conta ainda com drogaria, alameda de serviços e praça de alimentação. Para quem opta por ir de carro, um amplo estacionamento com posto de combustíveis integrado completa a estrutura.",(11) 4993-3239,https://www.carrefour.com.br/localizador-de-lojas,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,07:00-22:00,Hipermercado,21/05/2021 13:21
17301,116,Carrefour Hipermercado Shopping Interlagos,SPI - Hiper - Shopping Interlagos,Avenida Interlagos,2501,,Jd. Consórcio,04661-902,São Paulo,SP,"-23,6778717","-46,6765462",Devido à pandemia de Coronavírus (COVID-19) essa unidade está atuando com um horário de atendimento exclusivo para idosos (a partir de 60 anos): das 07h às 08h ,(11) 5567-7791,https://www.carrefour.com.br/localizador-de-lojas,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,Hipermercado,16/04/2021 15:49
